"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"1.80769231","0.04033418","0.55319149","0.71428571","Proline","7","3","false","ONIBWKKTOPOVIA-BYPYZUCNSA-N","9.85714286","7","0","amino_acids","0","0.79807692","false","0","ONIBWKKTOPOVIA-BYPYZUCNSA-N","76","0.41071429","metabolite"
"1.76923077","0.0970432","0.56521739","0.53333333","Tryptophan","10","3","false","QIVBCDIJIAJPQS-VIFPVBQESA-N","8.4","10","0","amino_acids","0","0.80769231","false","0","QIVBCDIJIAJPQS-VIFPVBQESA-N","192","0.3952381","metabolite"
"2.34615385","0.00331136","0.42622951","0.66666667","Fusobacteriaceae_Fusobacterium","4","3","false","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium","7.25","4","0","Fusobacteriaceae","0","0.66346154","false","0","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium","12","0.55769231","microbe"
"2.03846154","0.00658974","0.49056604","0.80952381","Glutamic Acid","7","3","false","WHUUTDBJXJRKMK-VKHMYHEASA-N","9.14285714","7","0","amino_acids","0","0.74038462","false","0","WHUUTDBJXJRKMK-VKHMYHEASA-N","20","0.50793651","metabolite"
"1.69230769","0.068167","0.59090909","0.54545455","Taurine","11","3","false","XOAAWQZATWQOTB-UHFFFAOYSA-N","9.0","11","0","amino_acids","0","0.82692308","false","0","XOAAWQZATWQOTB-UHFFFAOYSA-N","186","0.39130435","metabolite"
"2.15384615","0.0","0.46428571","1.0","Glutamine","6","3","false","ZDXPYRJPNDTMRX-VKHMYHEASA-N","9.83333333","6","0","amino_acids","0","0.71153846","false","0","ZDXPYRJPNDTMRX-VKHMYHEASA-N","0","0.61458333","metabolite"
"2.07692308","0.00364103","0.48148148","0.8","l-Isoleucine","5","3","false","AGPKZVBTJJNPAG-WHFBIAKZSA-N","8.8","5","0","amino_acids","0","0.73076923","false","0","AGPKZVBTJJNPAG-WHFBIAKZSA-N","12","0.46315789","metabolite"
"1.76923077","0.09702808","0.56521739","0.41666667","Phenylalanine","9","3","false","COLNVLDHVKWLRT-QMMMGPOBSA-N","7.88888889","9","0","amino_acids","0","0.80769231","false","0","COLNVLDHVKWLRT-QMMMGPOBSA-N","194","0.34299517","metabolite"
"1.53846154","0.18179412","0.65","0.37179487","Lysine","13","3","false","KDXKERNSBIXSRK-YFKPBYRVSA-N","7.84615385","13","0","amino_acids","0","0.86538462","false","0","KDXKERNSBIXSRK-YFKPBYRVSA-N","382","0.32371795","metabolite"
"1.84615385","0.06883516","0.54166667","0.44444444","Glycine","9","3","false","DHMQDGOQFOQNFH-UHFFFAOYSA-N","7.77777778","9","0","amino_acids","0","0.78846154","false","0","DHMQDGOQFOQNFH-UHFFFAOYSA-N","144","0.37037037","metabolite"
"1.96153846","0.02959219","0.50980392","0.46666667","Arginine","6","3","false","ODKSFYDXXFIFQN-BYPYZUCNSA-N","8.66666667","6","0","amino_acids","0","0.75961538","false","0","ODKSFYDXXFIFQN-BYPYZUCNSA-N","84","0.41269841","metabolite"
"2.07692308","0.01405617","0.48148148","0.6","Valine","6","3","false","KZSNJWFQEVHDMF-BYPYZUCNSA-N","7.16666667","6","0","amino_acids","0","0.73076923","false","0","KZSNJWFQEVHDMF-BYPYZUCNSA-N","38","0.39814815","metabolite"
"1.92307692","0.03569475","0.52","0.46428571","Tyrosine","8","3","false","OUYCCCASQSFEME-QMMMGPOBSA-N","7.75","8","0","amino_acids","0","0.76923077","false","0","OUYCCCASQSFEME-QMMMGPOBSA-N","84","0.3875","metabolite"
"1.92307692","0.03649084","0.52","0.53571429","Leucine","8","3","false","ROHFNLRQFUQHCH-YFKPBYRVSA-N","8.125","8","0","amino_acids","0","0.76923077","false","0","ROHFNLRQFUQHCH-YFKPBYRVSA-N","90","0.40625","metabolite"
"2.26923077","0.00194872","0.44067797","0.83333333","L-ornithine","4","4","false","AHLPHDHHMVZTML-BYPYZUCNSA-N","9.0","4","0","amino_acids","0","0.68269231","false","0","AHLPHDHHMVZTML-BYPYZUCNSA-N","6","0.5625","metabolite"
"2.30769231","0.00164103","0.43333333","0.83333333","Methionine","4","4","false","FFEARJCKVFRZRR-BYPYZUCNSA-N","9.25","4","0","amino_acids","0","0.67307692","false","0","FFEARJCKVFRZRR-BYPYZUCNSA-N","4","0.61666667","metabolite"
"1.61538462","0.07450474","0.61904762","0.49090909","Alanine","11","3","false","QNAYBMKLOCPYGJ-REOHCLBHSA-N","8.90909091","11","0","amino_acids","0","0.84615385","false","0","QNAYBMKLOCPYGJ-REOHCLBHSA-N","240","0.35636364","metabolite"
"1.73076923","0.02068263","0.57777778","0.75","Threonine","8","3","false","AYFVYJQAPQTCCC-GBXIJSLDSA-N","10.875","8","0","amino_acids","0","0.81730769","false","0","AYFVYJQAPQTCCC-GBXIJSLDSA-N","78","0.435","metabolite"
"2.57692308","0.0","0.3880597","1.0","Aspartic Acid","2","4","false","CKLJMWTZIZZHCS-REOHCLBHSA-N","8.0","2","0","amino_acids","0","0.60576923","false","0","CKLJMWTZIZZHCS-REOHCLBHSA-N","0","0.8","metabolite"
"2.30769231","0.0","0.43333333","1.0","Rikenellaceae_Alistipes","2","3","false","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","13.0","2","0","Rikenellaceae","0","0.67307692","false","0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","0","0.8125","microbe"
"1.42307692","0.20435221","0.7027027","0.38095238","Gamma-Aminobutyric Acid","15","2","false","BTCSSZJGUNDROE-UHFFFAOYSA-N","7.93333333","15","0","amino_acids","0","0.89423077","false","0","BTCSSZJGUNDROE-UHFFFAOYSA-N","422","0.30512821","metabolite"
"2.07692308","0.00170414","0.48148148","0.9047619","Clostridiaceae_Clostridium_sensu_stricto_1","7","3","false","d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1","9.85714286","7","0","Clostridiaceae","0","0.73076923","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1","8","0.57983193","microbe"
"2.34615385","0.0","0.42622951","1.0","Hafniaceae_Hafnia-Obesumbacterium","2","3","false","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia-Obesumbacterium","13.0","2","0","Hafniaceae","0","0.66346154","false","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia-Obesumbacterium","0","0.86666667","microbe"
"2.5","0.0","0.4","0.0","Lachnospiraceae_[Ruminococcus]_gnavus_group","1","4","false","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group","13.0","1","0","Lachnospiraceae","0","0.625","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group","0","0.0","microbe"
"2.73076923","0.0","0.36619718","0.0","Streptococcaceae_Streptococcus","1","4","false","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus","10.0","1","0","Streptococcaceae","0","0.56730769","false","0","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus","0","0.0","microbe"
"1.80769231","0.02276886","0.55319149","0.66666667","Histidine","9","3","false","HNDVDQJCIGZPNO-YFKPBYRVSA-N","9.11111111","9","0","amino_acids","0","0.79807692","false","0","HNDVDQJCIGZPNO-YFKPBYRVSA-N","76","0.41414141","metabolite"
"1.61538462","0.07905062","0.61904762","0.52727273","Serine","11","3","false","MTCFGRXMJLQNBG-REOHCLBHSA-N","9.27272727","11","0","amino_acids","0","0.84615385","false","0","MTCFGRXMJLQNBG-REOHCLBHSA-N","204","0.37090909","metabolite"
