"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"2.05","0.00333333","0.48780488","0.83333333","L-ornithine","4","3","false","AHLPHDHHMVZTML-BYPYZUCNSA-N","8.75","4","0","amino_acids","0","0.65","false","0","AHLPHDHHMVZTML-BYPYZUCNSA-N","6","0.58333333","metabolite"
"1.65","0.05046784","0.60606061","0.71428571","Proline","7","2","false","ONIBWKKTOPOVIA-BYPYZUCNSA-N","9.0","7","0","amino_acids","0","0.78333333","false","0","ONIBWKKTOPOVIA-BYPYZUCNSA-N","56","0.45","metabolite"
"2.1","0.00280702","0.47619048","0.83333333","Methionine","4","3","false","FFEARJCKVFRZRR-BYPYZUCNSA-N","9.0","4","0","amino_acids","0","0.63333333","false","0","FFEARJCKVFRZRR-BYPYZUCNSA-N","4","0.64285714","metabolite"
"1.75","0.02533417","0.57142857","0.64285714","Tryptophan","8","3","false","QIVBCDIJIAJPQS-VIFPVBQESA-N","8.125","8","0","amino_acids","0","0.75","false","0","QIVBCDIJIAJPQS-VIFPVBQESA-N","44","0.47794118","metabolite"
"1.45","0.09199039","0.68965517","0.49090909","Alanine","11","2","false","QNAYBMKLOCPYGJ-REOHCLBHSA-N","8.09090909","11","0","amino_acids","0","0.85","false","0","QNAYBMKLOCPYGJ-REOHCLBHSA-N","152","0.40454545","metabolite"
"1.6","0.01997076","0.625","0.75","Threonine","8","2","false","AYFVYJQAPQTCCC-GBXIJSLDSA-N","9.625","8","0","amino_acids","0","0.8","false","0","AYFVYJQAPQTCCC-GBXIJSLDSA-N","48","0.48125","metabolite"
"2.4","0.0","0.41666667","1.0","Aspartic Acid","2","3","false","CKLJMWTZIZZHCS-REOHCLBHSA-N","8.0","2","0","amino_acids","0","0.53333333","false","0","CKLJMWTZIZZHCS-REOHCLBHSA-N","0","0.8","metabolite"
"2.05","0.00535088","0.48780488","0.8","Glutamic Acid","6","3","false","WHUUTDBJXJRKMK-VKHMYHEASA-N","7.83333333","6","0","amino_acids","0","0.65","false","0","WHUUTDBJXJRKMK-VKHMYHEASA-N","8","0.6025641","metabolite"
"1.4","0.1395614","0.71428571","0.48484848","Gamma-Aminobutyric Acid","12","2","false","BTCSSZJGUNDROE-UHFFFAOYSA-N","8.0","12","0","amino_acids","0","0.86666667","false","0","BTCSSZJGUNDROE-UHFFFAOYSA-N","186","0.4","metabolite"
"1.65","0.04820384","0.60606061","0.63888889","Taurine","9","3","false","XOAAWQZATWQOTB-UHFFFAOYSA-N","8.77777778","9","0","amino_acids","0","0.78333333","false","0","XOAAWQZATWQOTB-UHFFFAOYSA-N","90","0.48765432","metabolite"
"2.15","0.0","0.46511628","1.0","Glutamine","5","3","false","ZDXPYRJPNDTMRX-VKHMYHEASA-N","8.6","5","0","amino_acids","0","0.61666667","false","0","ZDXPYRJPNDTMRX-VKHMYHEASA-N","0","0.71666667","metabolite"
"1.9","0.00359649","0.52631579","0.8","l-Isoleucine","5","3","false","AGPKZVBTJJNPAG-WHFBIAKZSA-N","8.0","5","0","amino_acids","0","0.7","false","0","AGPKZVBTJJNPAG-WHFBIAKZSA-N","8","0.47058824","metabolite"
"1.7","0.08489766","0.58823529","0.42857143","Phenylalanine","8","3","false","COLNVLDHVKWLRT-QMMMGPOBSA-N","7.25","8","0","amino_acids","0","0.76666667","false","0","COLNVLDHVKWLRT-QMMMGPOBSA-N","94","0.40277778","metabolite"
"1.4","0.13428363","0.71428571","0.43939394","Lysine","12","2","false","KDXKERNSBIXSRK-YFKPBYRVSA-N","7.75","12","0","amino_acids","0","0.86666667","false","0","KDXKERNSBIXSRK-YFKPBYRVSA-N","186","0.3875","metabolite"
"1.7","0.08765246","0.58823529","0.44444444","Glycine","9","3","false","DHMQDGOQFOQNFH-UHFFFAOYSA-N","7.22222222","9","0","amino_acids","0","0.76666667","false","0","DHMQDGOQFOQNFH-UHFFFAOYSA-N","96","0.4248366","metabolite"
"1.9","0.0185944","0.52631579","0.6","Arginine","5","3","false","ODKSFYDXXFIFQN-BYPYZUCNSA-N","8.4","5","0","amino_acids","0","0.7","false","0","ODKSFYDXXFIFQN-BYPYZUCNSA-N","30","0.49411765","metabolite"
"1.75","0.02542189","0.57142857","0.64285714","Histidine","8","3","false","HNDVDQJCIGZPNO-YFKPBYRVSA-N","7.75","8","0","amino_acids","0","0.75","false","0","HNDVDQJCIGZPNO-YFKPBYRVSA-N","44","0.45588235","metabolite"
"1.9","0.01105263","0.52631579","0.7","Valine","5","3","false","KZSNJWFQEVHDMF-BYPYZUCNSA-N","7.4","5","0","amino_acids","0","0.7","false","0","KZSNJWFQEVHDMF-BYPYZUCNSA-N","18","0.43529412","metabolite"
"1.7","0.05393901","0.58823529","0.46428571","Tyrosine","8","3","false","OUYCCCASQSFEME-QMMMGPOBSA-N","7.125","8","0","amino_acids","0","0.76666667","false","0","OUYCCCASQSFEME-QMMMGPOBSA-N","68","0.39583333","metabolite"
"1.75","0.02087719","0.57142857","0.61904762","Leucine","7","3","false","ROHFNLRQFUQHCH-YFKPBYRVSA-N","8.28571429","7","0","amino_acids","0","0.75","false","0","ROHFNLRQFUQHCH-YFKPBYRVSA-N","36","0.46031746","metabolite"
"1.55","0.04108605","0.64516129","0.66666667","Serine","9","2","false","MTCFGRXMJLQNBG-REOHCLBHSA-N","9.33333333","9","0","amino_acids","0","0.81666667","false","0","MTCFGRXMJLQNBG-REOHCLBHSA-N","78","0.46666667","metabolite"
