"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"1.17647059","0.02780404","0.85","0.78021978","Taurolithocholic acid","14","2","false","QBYUNVOYXHFVKC-GBURMNQMSA-N","11.92857143","14","0","bile_acids","0","0.94117647","false","0","QBYUNVOYXHFVKC-GBURMNQMSA-N","52","0.70168067","metabolite"
"1.58823529","9.1912E-4","0.62962963","0.95238095","Enterobacteriaceae_Escherichia-Shigella","7","2","false","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella","13.28571429","7","0","Enterobacteriaceae","0","0.80392157","false","0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella","2","0.78151261","microbe"
"1.11764706","0.04093429","0.89473684","0.73333333","Taurodeoxycholic acid","15","2","false","AWDRATDZQPNJFN-VAYUFCLWSA-N","11.53333333","15","0","bile_acids","0","0.96078431","false","0","AWDRATDZQPNJFN-VAYUFCLWSA-N","68","0.67843137","metabolite"
"1.17647059","0.02218429","0.85","0.8021978","Glycocholic acid","14","2","false","RFDAIACWWDREDC-FRVQLJSFSA-N","12.07142857","14","0","bile_acids","0","0.94117647","false","0","RFDAIACWWDREDC-FRVQLJSFSA-N","44","0.71008403","metabolite"
"1.29411765","0.00571895","0.77272727","0.92424242","Chenodeoxycholic acid","12","2","false","RUDATBOHQWOJDD-BSWAIDMHSA-N","13.0","12","0","bile_acids","0","0.90196078","false","0","RUDATBOHQWOJDD-BSWAIDMHSA-N","18","0.76470588","metabolite"
"1.29411765","0.00571895","0.77272727","0.92424242","Cholic acid","12","2","false","BHQCQFFYRZLCQQ-OELDTZBJSA-N","13.0","12","0","bile_acids","0","0.90196078","false","0","BHQCQFFYRZLCQQ-OELDTZBJSA-N","18","0.76470588","metabolite"
"1.23529412","0.01517274","0.80952381","0.84615385","Taurocholic acid","13","2","false","WBWWGRHZICKQGZ-HZAMXZRMSA-N","12.46153846","13","0","bile_acids","0","0.92156863","false","0","WBWWGRHZICKQGZ-HZAMXZRMSA-N","32","0.73303167","metabolite"
"1.23529412","0.01895425","0.80952381","0.83333333","Taurochenodeoxycholic acid","13","2","false","BHTRKEVKTKCXOH-BJLOMENOSA-N","12.30769231","13","0","bile_acids","0","0.92156863","false","0","BHTRKEVKTKCXOH-BJLOMENOSA-N","38","0.7239819","metabolite"
"1.52941176","0.00210084","0.65384615","0.92857143","Glycodeoxycholic acid","8","2","false","WVULKSPCQVQLCU-BUXLTGKBSA-N","13.375","8","0","bile_acids","0","0.82352941","false","0","WVULKSPCQVQLCU-BUXLTGKBSA-N","4","0.78676471","metabolite"
"1.52941176","0.0","0.65384615","1.0","Clostridiaceae_Clostridium_sensu_stricto_1","9","3","false","d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1","13.66666667","9","0","Clostridiaceae","0","0.82352941","false","0","d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1","0","0.85416667","microbe"
