"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"1.0","0.01038961","1.0","0.92727273","Taurolithocholic acid","11","1","false","QBYUNVOYXHFVKC-GBURMNQMSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","QBYUNVOYXHFVKC-GBURMNQMSA-N","8","0.9338843","metabolite"
"1.0","0.01038961","1.0","0.92727273","Taurodeoxycholic acid","11","1","false","AWDRATDZQPNJFN-VAYUFCLWSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","AWDRATDZQPNJFN-VAYUFCLWSA-N","8","0.9338843","metabolite"
"1.0","0.01038961","1.0","0.92727273","Glycocholic acid","11","1","false","RFDAIACWWDREDC-FRVQLJSFSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","RFDAIACWWDREDC-FRVQLJSFSA-N","8","0.9338843","metabolite"
"1.09090909","0.0","0.91666667","1.0","Chenodeoxycholic acid","10","2","false","RUDATBOHQWOJDD-BSWAIDMHSA-N","10.7","10","0","bile_acids","0","0.95454545","false","0","RUDATBOHQWOJDD-BSWAIDMHSA-N","0","0.97272727","metabolite"
"1.09090909","0.0","0.91666667","1.0","Cholic acid","10","2","false","BHQCQFFYRZLCQQ-OELDTZBJSA-N","10.7","10","0","bile_acids","0","0.95454545","false","0","BHQCQFFYRZLCQQ-OELDTZBJSA-N","0","0.97272727","metabolite"
"1.09090909","0.0","0.91666667","1.0","Taurocholic acid","10","2","false","WBWWGRHZICKQGZ-HZAMXZRMSA-N","10.7","10","0","bile_acids","0","0.95454545","false","0","WBWWGRHZICKQGZ-HZAMXZRMSA-N","0","0.97272727","metabolite"
"1.09090909","0.0","0.91666667","1.0","Taurochenodeoxycholic acid","10","2","false","BHTRKEVKTKCXOH-BJLOMENOSA-N","10.7","10","0","bile_acids","0","0.95454545","false","0","BHTRKEVKTKCXOH-BJLOMENOSA-N","0","0.97272727","metabolite"
"1.36363636","0.0","0.73333333","1.0","Glycodeoxycholic acid","7","2","false","WVULKSPCQVQLCU-BUXLTGKBSA-N","11.0","7","0","bile_acids","0","0.81818182","false","0","WVULKSPCQVQLCU-BUXLTGKBSA-N","0","1.0","metabolite"
"1.0","0.01038961","1.0","0.92727273","alpha-Muricholic acid","11","1","false","DKPMWHFRUGMUKF-GDYCBZMLSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","DKPMWHFRUGMUKF-GDYCBZMLSA-N","8","0.9338843","metabolite"
"1.0","0.01038961","1.0","0.92727273","Hyocholic acid","11","1","false","DKPMWHFRUGMUKF-KWXDGCAGSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","DKPMWHFRUGMUKF-KWXDGCAGSA-N","8","0.9338843","metabolite"
"1.0","0.01038961","1.0","0.92727273","Glycochenodeoxycholic acid","11","1","false","GHCZAUBVMUEKKP-GYPHWSFCSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","GHCZAUBVMUEKKP-GYPHWSFCSA-N","8","0.9338843","metabolite"
"1.0","0.01038961","1.0","0.92727273","Deoxycholic Acid","11","1","false","KXGVEGMKQFWNSR-LLQZFEROSA-N","10.27272727","11","0","bile_acids","0","1.0","false","0","KXGVEGMKQFWNSR-LLQZFEROSA-N","8","0.9338843","metabolite"
