"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","common_name","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","parent_group","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","type"
"1.59459459","0.09095469","0.62711864","0.675","Proline","16","3","false","ONIBWKKTOPOVIA-BYPYZUCNSA-N","19.3125","16","0","amino_acids","0","0.85135135","false","0","ONIBWKKTOPOVIA-BYPYZUCNSA-N","638","0.55","metabolite"
"1.37837838","0.01625602","0.7254902","0.76811594","Taurolithocholic acid","24","3","false","QBYUNVOYXHFVKC-GBURMNQMSA-N","20.0","24","0","bile_acids","0","0.90540541","false","0","QBYUNVOYXHFVKC-GBURMNQMSA-N","302","0.55555556","metabolite"
"1.56756757","0.008356","0.63793103","0.82105263","Tryptophan","20","3","false","QIVBCDIJIAJPQS-VIFPVBQESA-N","20.4","20","0","amino_acids","0","0.85810811","false","0","QIVBCDIJIAJPQS-VIFPVBQESA-N","132","0.61818182","metabolite"
"1.43243243","0.01314331","0.69811321","0.77865613","Glycocholic acid","23","3","false","RFDAIACWWDREDC-FRVQLJSFSA-N","20.17391304","23","0","bile_acids","0","0.89189189","false","0","RFDAIACWWDREDC-FRVQLJSFSA-N","252","0.57639752","metabolite"
"1.35135135","0.01890672","0.74","0.75724638","Chenodeoxycholic acid","24","2","false","RUDATBOHQWOJDD-BSWAIDMHSA-N","20.08333333","24","0","bile_acids","0","0.91216216","false","0","RUDATBOHQWOJDD-BSWAIDMHSA-N","336","0.54279279","metabolite"
"1.43243243","0.0107853","0.69811321","0.81385281","Taurocholic acid","22","3","false","WBWWGRHZICKQGZ-HZAMXZRMSA-N","20.63636364","22","0","bile_acids","0","0.89189189","false","0","WBWWGRHZICKQGZ-HZAMXZRMSA-N","210","0.57323232","metabolite"
"1.78378378","0.00665002","0.56060606","0.88333333","Glutamic Acid","16","3","false","WHUUTDBJXJRKMK-VKHMYHEASA-N","20.6875","16","0","amino_acids","0","0.80405405","false","0","WHUUTDBJXJRKMK-VKHMYHEASA-N","62","0.71336207","metabolite"
"1.78378378","0.00411318","0.56060606","0.78787879","Glycodeoxycholic acid","12","3","false","WVULKSPCQVQLCU-BUXLTGKBSA-N","20.16666667","12","0","bile_acids","0","0.80405405","false","0","WVULKSPCQVQLCU-BUXLTGKBSA-N","76","0.61111111","metabolite"
"1.59459459","0.01629322","0.62711864","0.8245614","Propionic Acid","19","3","false","XBDQKXXYIPTUBI-UHFFFAOYSA-N","20.26315789","19","0","short_chain_fatty_acids","0","0.85135135","false","0","XBDQKXXYIPTUBI-UHFFFAOYSA-N","158","0.61403509","metabolite"
"1.51351351","0.00692588","0.66071429","0.85238095","Taurine","21","3","false","XOAAWQZATWQOTB-UHFFFAOYSA-N","21.04761905","21","0","amino_acids","0","0.87162162","false","0","XOAAWQZATWQOTB-UHFFFAOYSA-N","168","0.61904762","metabolite"
"1.81081081","2.7736E-4","0.55223881","0.98333333","Glutamine","16","3","false","ZDXPYRJPNDTMRX-VKHMYHEASA-N","21.75","16","0","amino_acids","0","0.7972973","false","0","ZDXPYRJPNDTMRX-VKHMYHEASA-N","6","0.77678571","metabolite"
"2.0","0.00119934","0.5","0.8","l-Isoleucine","5","3","false","AGPKZVBTJJNPAG-WHFBIAKZSA-N","12.2","5","0","amino_acids","0","0.75","false","0","AGPKZVBTJJNPAG-WHFBIAKZSA-N","20","0.38125","metabolite"
"1.7027027","0.05322337","0.58730159","0.45054945","Phenylalanine","14","3","false","COLNVLDHVKWLRT-QMMMGPOBSA-N","15.42857143","14","0","amino_acids","0","0.82432432","false","0","COLNVLDHVKWLRT-QMMMGPOBSA-N","414","0.45378151","metabolite"
"1.35135135","0.11229","0.74","0.54347826","Lysine","24","2","false","KDXKERNSBIXSRK-YFKPBYRVSA-N","17.25","24","0","amino_acids","0","0.91216216","false","0","KDXKERNSBIXSRK-YFKPBYRVSA-N","894","0.46621622","metabolite"
"1.81081081","0.04070904","0.55223881","0.41818182","Glycine","11","3","false","DHMQDGOQFOQNFH-UHFFFAOYSA-N","13.36363636","11","0","amino_acids","0","0.7972973","false","0","DHMQDGOQFOQNFH-UHFFFAOYSA-N","266","0.40495868","metabolite"
"2.02702703","0.00356337","0.49333333","0.6","Arginine","5","3","false","ODKSFYDXXFIFQN-BYPYZUCNSA-N","16.6","5","0","amino_acids","0","0.74324324","false","0","ODKSFYDXXFIFQN-BYPYZUCNSA-N","30","0.53548387","metabolite"
"2.2972973","0.00186095","0.43529412","0.0","Isovaleric acid","2","4","false","GWYFCOCPABKNJV-UHFFFAOYSA-N","13.0","2","0","short_chain_fatty_acids","0","0.67567568","false","0","GWYFCOCPABKNJV-UHFFFAOYSA-N","12","0.5","metabolite"
"2.13513514","0.00636331","0.46835443","0.6","Valine","6","3","false","KZSNJWFQEVHDMF-BYPYZUCNSA-N","8.66666667","6","0","amino_acids","0","0.71621622","false","0","KZSNJWFQEVHDMF-BYPYZUCNSA-N","40","0.33333333","metabolite"
"1.83783784","0.03361665","0.54411765","0.36111111","Tyrosine","9","3","false","OUYCCCASQSFEME-QMMMGPOBSA-N","9.88888889","9","0","amino_acids","0","0.79054054","false","0","OUYCCCASQSFEME-QMMMGPOBSA-N","188","0.2962963","metabolite"
"1.89189189","0.01197761","0.52857143","0.53571429","Leucine","8","3","false","ROHFNLRQFUQHCH-YFKPBYRVSA-N","11.875","8","0","amino_acids","0","0.77702703","false","0","ROHFNLRQFUQHCH-YFKPBYRVSA-N","100","0.35984848","metabolite"
"2.05405405","0.00468395","0.48684211","0.6","Acetic Acid","5","3","false","QTBSBXVTEAMEQO-UHFFFAOYSA-N","14.4","5","0","short_chain_fatty_acids","0","0.73648649","false","0","QTBSBXVTEAMEQO-UHFFFAOYSA-N","58","0.48","metabolite"
"2.13513514","0.00138962","0.46835443","0.83333333","L-ornithine","4","3","false","AHLPHDHHMVZTML-BYPYZUCNSA-N","14.5","4","0","amino_acids","0","0.71621622","false","0","AHLPHDHHMVZTML-BYPYZUCNSA-N","8","0.51785714","metabolite"
"2.18918919","8.008E-4","0.45679012","0.83333333","Methionine","4","3","false","FFEARJCKVFRZRR-BYPYZUCNSA-N","15.0","4","0","amino_acids","0","0.7027027","false","0","FFEARJCKVFRZRR-BYPYZUCNSA-N","4","0.57692308","metabolite"
"1.43243243","0.06748934","0.69811321","0.58571429","Alanine","21","2","false","QNAYBMKLOCPYGJ-REOHCLBHSA-N","17.95238095","21","0","amino_acids","0","0.89189189","false","0","QNAYBMKLOCPYGJ-REOHCLBHSA-N","678","0.48519949","metabolite"
"1.32432432","0.02277343","0.75510204","0.73","Taurodeoxycholic acid","25","2","false","AWDRATDZQPNJFN-VAYUFCLWSA-N","19.72","25","0","bile_acids","0","0.91891892","false","0","AWDRATDZQPNJFN-VAYUFCLWSA-N","386","0.53297297","metabolite"
"1.56756757","0.00706206","0.63793103","0.83088235","Threonine","17","3","false","AYFVYJQAPQTCCC-GBXIJSLDSA-N","21.17647059","17","0","amino_acids","0","0.85810811","false","0","AYFVYJQAPQTCCC-GBXIJSLDSA-N","136","0.58823529","metabolite"
"2.40540541","0.0","0.41573034","1.0","Aspartic Acid","2","4","false","CKLJMWTZIZZHCS-REOHCLBHSA-N","13.5","2","0","amino_acids","0","0.64864865","false","0","CKLJMWTZIZZHCS-REOHCLBHSA-N","0","0.64285714","metabolite"
"2.56756757","0.0","0.38947368","0.0","Lithocholic acid","1","4","false","SMEROWZSTRWXGI-HVATVPOCSA-N","16.0","1","0","bile_acids","0","0.60810811","false","0","SMEROWZSTRWXGI-HVATVPOCSA-","0","0.0","metabolite"
