cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Prevotellaceae_Prevotella	Prevotellaceae_Prevotella	0.0
2	Veillonellaceae_Megasphaera	Veillonellaceae_Megasphaera	0.0
3	Rikenellaceae_Alistipes	Rikenellaceae_Alistipes	0.0
4	Bifidobacteriaceae_Bifidobacterium	Bifidobacteriaceae_Bifidobacterium	0.0
5	Coriobacteriaceae_Collinsella	Coriobacteriaceae_Collinsella	0.0
6	Barnesiellaceae_Coprobacter	Barnesiellaceae_Coprobacter	0.0
7	Lachnospiraceae_Oribacterium	Lachnospiraceae_Oribacterium	0.0
8	Hafniaceae_Hafnia-Obesumbacterium	Hafniaceae_Hafnia-Obesumbacterium	0.0
9	Enterobacteriaceae_Escherichia-Shigella	Enterobacteriaceae_Escherichia-Shigella	0.0
10	Lachnospiraceae_[Ruminococcus]_gnavus_group	Lachnospiraceae_[Ruminococcus]_gnavus_group	0.0
11	Barnesiellaceae_Barnesiella	Barnesiellaceae_Barnesiella	0.0
12	Lachnospiraceae_Lachnospiraceae_FCS020_group	Lachnospiraceae_Lachnospiraceae_FCS020_group	0.0
13	Tannerellaceae_Parabacteroides	Tannerellaceae_Parabacteroides	0.0
14	Bacteroidaceae_Bacteroides	Bacteroidaceae_Bacteroides	0.0
15	Selenomonadaceae_Megamonas	Selenomonadaceae_Megamonas	0.0
16	Sutterellaceae_Sutterella	Sutterellaceae_Sutterella	0.0
17	Muribaculaceae_Muribaculaceae	Muribaculaceae_Muribaculaceae	0.0
18	Acidaminococcaceae_Phascolarctobacterium	Acidaminococcaceae_Phascolarctobacterium	0.0
19	Fusobacteriaceae_Fusobacterium	Fusobacteriaceae_Fusobacterium	0.0
20	Succinivibrionaceae_Succinatimonas	Succinivibrionaceae_Succinatimonas	0.0
21	Lachnospiraceae_[Ruminococcus]_torques_group	Lachnospiraceae_[Ruminococcus]_torques_group	0.0
22	Ruminococcaceae_Incertae_Sedis	Ruminococcaceae_Incertae_Sedis	0.0
23	Atopobiaceae_Libanicoccus	Atopobiaceae_Libanicoccus	0.0
24	Streptococcaceae_Streptococcus	Streptococcaceae_Streptococcus	0.0
25	Aerococcaceae_Abiotrophia	Aerococcaceae_Abiotrophia	0.0
26	Succinivibrionaceae_Anaerobiospirillum	Succinivibrionaceae_Anaerobiospirillum	0.0
27	Eubacteriaceae_Eubacterium	Eubacteriaceae_Eubacterium	0.0
28	Coriobacteriaceae_Coriobacterium	Coriobacteriaceae_Coriobacterium	0.0
29	Saccharimonadales_Saccharimonadales	Saccharimonadales_Saccharimonadales	0.0
30	Oscillospiraceae_Oscillibacter	Oscillospiraceae_Oscillibacter	0.0
31	Lachnospiraceae_Syntrophococcus	Lachnospiraceae_Syntrophococcus	0.0
32	Gastranaerophilales_Gastranaerophilales	Gastranaerophilales_Gastranaerophilales	0.0
33	Lachnospiraceae_Lachnospiraceae_NK4A136_group	Lachnospiraceae_Lachnospiraceae_NK4A136_group	0.0
34	Lachnospiraceae_Blautia	Lachnospiraceae_Blautia	0.0
35	Atopobiaceae_Olsenella	Atopobiaceae_Olsenella	0.0
36	Ruminococcaceae_Subdoligranulum	Ruminococcaceae_Subdoligranulum	0.0
37	Oscillospiraceae_Colidextribacter	Oscillospiraceae_Colidextribacter	0.0
38	Leuconostocaceae_Leuconostoc	Leuconostocaceae_Leuconostoc	0.0
39	Oscillospiraceae_Flavonifractor	Oscillospiraceae_Flavonifractor	0.0
40	Lachnospiraceae_Lachnoclostridium	Lachnospiraceae_Lachnoclostridium	1.2504318083854567e-281
41	Atopobiaceae_uncultured	Atopobiaceae_uncultured	1.2504318083854567e-281
42	Clostridiaceae_Clostridium_sensu_stricto_1	Clostridiaceae_Clostridium_sensu_stricto_1	1.2504318083854567e-281
43	Peptococcaceae_Peptococcus	Peptococcaceae_Peptococcus	1.2504318083854567e-281
44	Gemellaceae_Gemella	Gemellaceae_Gemella	1.2504318083854567e-281
45	Eggerthellaceae_Enterorhabdus	Eggerthellaceae_Enterorhabdus	1.2504318083854567e-281
46	Prevotellaceae_Paraprevotella	Prevotellaceae_Paraprevotella	1.2504318083854567e-281
47	uncultured_uncultured	uncultured_uncultured	1.2504318083854567e-281
48	Akkermansiaceae_Akkermansia	Akkermansiaceae_Akkermansia	1.2504318083854567e-281
49	Butyricicoccaceae_Butyricicoccus	Butyricicoccaceae_Butyricicoccus	1.2504318083854567e-281
50	Veillonellaceae_Allisonella	Veillonellaceae_Allisonella	1.2504318083854567e-281
51	Lachnospiraceae_GCA-900066575	Lachnospiraceae_GCA-900066575	1.2504318083854567e-281
