X_features	Y_features	association	p-values	q-values
Acetic Acid	Acetic Acid	1.0	0.0	0.0
Acetic Acid	Propionic Acid	0.48528285370390634	0.00201387033608064	0.007754675395388996
Acetic Acid	Butyric Acid	0.5294890031732138	0.0006299786032319005	0.0027773839290310747
Acetic Acid	Isovaleric acid	0.03655666967697145	0.8275106954356649	0.8862399334600884
Acetic Acid	alpha-Muricholic acid	0.31174089068825905	0.056742464858683526	0.1190417780000795
Acetic Acid	Cholic Acid	0.49710033920560237	0.0014984871550482027	0.005859123297759168
Acetic Acid	Hyocholic Acid	0.12747565379144327	0.44565304850036014	0.5759033872294373
Acetic Acid	Lithocholic Acid	-0.2655651603020024	0.10708106406522853	0.19646598123427333
Acetic Acid	Chenodeoxycholic acid	0.3736732684101105	0.020835684240348956	0.053083878944004625
Acetic Acid	Deoxycholic Acid	0.20866615603457708	0.20867050197293077	0.3323432811526992
Acetic Acid	Glycocholic acid	0.22464164569427728	0.17512167693826455	0.29367152218643927
Acetic Acid	Glycochenodeoxycholic Acid	0.09546749842878761	0.5685779473561439	0.6858105138213281
Acetic Acid	Glycodeoxycholic Acid	-0.041251778093883355	0.8057573760459124	0.8710426218662635
Acetic Acid	Glycolithocholic acid	-0.3795501035313006	0.018760688049697997	0.04844653060032369
Acetic Acid	Taurocholic acid	0.35463398621293357	0.028915266471399553	0.06926003197322633
Acetic Acid	Taurochenodeoxycholic acid	0.33187438450596346	0.0417937530538511	0.09334551893525334
Acetic Acid	Taurolithocholic acid	0.40168508589561225	0.012429210555493246	0.03394044749534152
Acetic Acid	Taurodeoxycholic acid	0.38855454644928333	0.01591861273940893	0.04225516575330014
Acetic Acid	Histidine	0.4277273224641646	0.00739103244823352	0.022085973190104486
Acetic Acid	Taurine	0.23898889350210475	0.14844418532654616	0.25570057291243115
Acetic Acid	Serine	-0.5091366670314038	0.0010967645375364544	0.004472329387648652
Acetic Acid	Glutamine	0.18831381989276724	0.2575368560160299	0.3844097723261839
Acetic Acid	Arginine	0.027467717389247012	0.8699697718837588	0.9157259674984063
Acetic Acid	Glycine	-0.09815078236130868	0.5577082014891475	0.6759156768645365
Acetic Acid	Aspartic Acid	-0.08917824707298391	0.5944277989640232	0.7046957772597656
Acetic Acid	Threonine	-0.05482000218842324	0.7437507532286554	0.8275383289398572
Acetic Acid	Alanine	-0.10362184046394572	0.5358504747751194	0.6567514682779666
Acetic Acid	Gamma-Aminobutyric Acid	0.397964766385819	0.013344769044606823	0.03618073746318534
Acetic Acid	Proline	-0.24652587810482549	0.1356834866655808	0.23803296795657256
Acetic Acid	L-ornithine	-0.1313125788473103	0.4319632861636187	0.5610727226770829
Acetic Acid	Lysine	-0.2951088740562425	0.07206598418857937	0.14143530574300547
Acetic Acid	Methionine	-0.08567676988729621	0.6090385332093198	0.7175426870731025
Acetic Acid	Valine	0.2323011270379691	0.1604832448631872	0.27212376302888264
Acetic Acid	l-Isoleucine	0.048911259437575225	0.7705834176371482	0.8474746046464949
Acetic Acid	Leucine	0.032716927453769556	0.8453964116010451	0.898859654559336
Acetic Acid	Phenylalanine	0.11828427617901302	0.47938952186822936	0.6111915027339286
Acetic Acid	Tryptophan	0.11500164131743079	0.4917534053984123	0.6207111449053818
Acetic Acid	Glutamic Acid	0.16664842980632452	0.3173162324110278	0.44813183797323425
Acetic Acid	Tyrosine	0.08852172010066747	0.5971556022953566	0.7068277596040757
Propionic Acid	Acetic Acid	0.48528285370390634	0.00201387033608064	0.007754675395388996
Propionic Acid	Propionic Acid	1.0	0.0	0.0
Propionic Acid	Butyric Acid	0.7231644600065653	2.920915896697547e-07	2.86626650250127e-06
Propionic Acid	Isovaleric acid	0.3193783296928224	0.05063713071573214	0.10843921737305282
Propionic Acid	alpha-Muricholic acid	0.4846263267315899	0.0020465915347085157	0.007762757417186166
Propionic Acid	Cholic Acid	0.3741109530583214	0.02067481672489301	0.052851086115230705
Propionic Acid	Hyocholic Acid	0.32180763759711123	0.048809651950757975	0.10590510787033221
Propionic Acid	Lithocholic Acid	-0.09683772841667579	0.5630151578083996	0.6812617780641017
Propionic Acid	Chenodeoxycholic acid	0.43473027683554	0.0063827454107961284	0.019691999533105294
Propionic Acid	Deoxycholic Acid	0.3069263595579385	0.06088326403941125	0.12463451494474362
Propionic Acid	Glycocholic acid	0.5207353102089946	0.0008030290705751264	0.0034600771001268194
Propionic Acid	Glycochenodeoxycholic Acid	0.4518284013940441	0.00440422171757627	0.01416241275355921
Propionic Acid	Glycodeoxycholic Acid	0.25899989057883793	0.11637415255201561	0.20947347459362808
Propionic Acid	Glycolithocholic acid	-0.025069793397365973	0.881236850713873	0.919945950539328
Propionic Acid	Taurocholic acid	0.35616588248167197	0.0281817771208253	0.06793103486652184
