cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Acetic Acid	Acetic Acid	0.0
2	Propionic Acid	Propionic Acid	0.0
3	Butyric Acid	Butyric Acid	0.0
4	Isovaleric acid	Isovaleric acid	0.0
5	alpha-Muricholic acid	alpha-Muricholic acid	0.0
6	Cholic Acid	Cholic Acid	0.0
7	Hyocholic Acid	Hyocholic Acid	0.0
8	Lithocholic Acid	Lithocholic Acid	0.0
9	Chenodeoxycholic acid	Chenodeoxycholic acid	0.0
10	Deoxycholic Acid	Deoxycholic Acid	0.0
11	Glycocholic acid	Glycocholic acid	0.0
12	Glycodeoxycholic Acid	Glycodeoxycholic Acid	0.0
13	Glycolithocholic acid	Glycolithocholic acid	0.0
14	Taurocholic acid	Taurocholic acid	0.0
15	Taurochenodeoxycholic acid	Taurochenodeoxycholic acid	0.0
16	Taurolithocholic acid	Taurolithocholic acid	0.0
17	Taurodeoxycholic acid	Taurodeoxycholic acid	0.0
18	Histidine	Histidine	0.0
19	Taurine	Taurine	0.0
20	Serine	Serine	0.0
21	Glutamine	Glutamine	0.0
22	Glycine	Glycine	0.0
23	Aspartic Acid	Aspartic Acid	0.0
24	Threonine	Threonine	0.0
25	Alanine	Alanine	0.0
26	Gamma-Aminobutyric Acid	Gamma-Aminobutyric Acid	0.0
27	Proline	Proline	0.0
28	L-ornithine	L-ornithine	0.0
29	Lysine	Lysine	0.0
30	Methionine	Methionine	0.0
31	Valine	Valine	0.0
32	l-Isoleucine	l-Isoleucine	0.0
33	Leucine	Leucine	0.0
34	Phenylalanine	Phenylalanine	0.0
35	Tryptophan	Tryptophan	0.0
36	Glutamic Acid	Glutamic Acid	0.0
37	Tyrosine	Tyrosine	0.0
38	Glycochenodeoxycholic Acid	Glycochenodeoxycholic Acid	8.866698277642328e-282
39	Arginine	Arginine	8.866698277642328e-282
40	Taurochenodeoxycholic acid	Taurodeoxycholic acid	4.863230179689218e-20
41	Taurodeoxycholic acid	Taurochenodeoxycholic acid	4.863230179689218e-20
42	l-Isoleucine	Leucine	2.77390072289993e-18
43	Leucine	l-Isoleucine	2.77390072289993e-18
44	Taurocholic acid	Taurodeoxycholic acid	4.972241569339638e-14
45	Taurodeoxycholic acid	Taurocholic acid	4.972241569339638e-14
46	Valine	Leucine	5.655331552217131e-14
47	Leucine	Valine	5.655331552217131e-14
