cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Bacteroidaceae_Bacteroides	Bacteroidaceae_Bacteroides	0.0
2	Prevotellaceae_Alloprevotella	Prevotellaceae_Alloprevotella	0.0
3	Fusobacteriaceae_Fusobacterium	Fusobacteriaceae_Fusobacterium	0.0
4	Sutterellaceae_Sutterella	Sutterellaceae_Sutterella	0.0
5	Succinivibrionaceae_Succinatimonas	Succinivibrionaceae_Succinatimonas	0.0
6	Ruminococcaceae_Incertae_Sedis	Ruminococcaceae_Incertae_Sedis	0.0
7	Tannerellaceae_Parabacteroides	Tannerellaceae_Parabacteroides	0.0
8	Clostridiaceae_Clostridium_sensu_stricto_1	Clostridiaceae_Clostridium_sensu_stricto_1	0.0
9	Selenomonadaceae_Megamonas	Selenomonadaceae_Megamonas	0.0
10	Rikenellaceae_Alistipes	Rikenellaceae_Alistipes	0.0
11	Saccharimonadales_Saccharimonadales	Saccharimonadales_Saccharimonadales	0.0
12	Oscillospiraceae_Flavonifractor	Oscillospiraceae_Flavonifractor	0.0
13	Veillonellaceae_Megasphaera	Veillonellaceae_Megasphaera	0.0
14	Lachnospiraceae_Oribacterium	Lachnospiraceae_Oribacterium	0.0
15	Bifidobacteriaceae_Bifidobacterium	Bifidobacteriaceae_Bifidobacterium	0.0
16	Lachnospiraceae_[Ruminococcus]_torques_group	Lachnospiraceae_[Ruminococcus]_torques_group	0.0
17	Prevotellaceae_Paraprevotella	Prevotellaceae_Paraprevotella	0.0
18	Muribaculaceae_Muribaculaceae	Muribaculaceae_Muribaculaceae	0.0
19	Lachnospiraceae_Lachnoclostridium	Lachnospiraceae_Lachnoclostridium	0.0
20	Lachnospiraceae_Tyzzerella	Lachnospiraceae_Tyzzerella	0.0
21	Coriobacteriaceae_Coriobacterium	Coriobacteriaceae_Coriobacterium	0.0
22	Akkermansiaceae_Akkermansia	Akkermansiaceae_Akkermansia	0.0
23	Atopobiaceae_Olsenella	Atopobiaceae_Olsenella	0.0
24	Acidaminococcaceae_Phascolarctobacterium	Acidaminococcaceae_Phascolarctobacterium	0.0
25	Enterobacteriaceae_Escherichia-Shigella	Enterobacteriaceae_Escherichia-Shigella	0.0
26	Gastranaerophilales_Gastranaerophilales	Gastranaerophilales_Gastranaerophilales	0.0
27	Leuconostocaceae_Leuconostoc	Leuconostocaceae_Leuconostoc	0.0
28	Lachnospiraceae_Lachnospiraceae_NK4A136_group	Lachnospiraceae_Lachnospiraceae_NK4A136_group	0.0
29	Lachnospiraceae_[Ruminococcus]_gnavus_group	Lachnospiraceae_[Ruminococcus]_gnavus_group	0.0
30	Eggerthellaceae_Enterorhabdus	Eggerthellaceae_Enterorhabdus	0.0
31	Coriobacteriaceae_Collinsella	Coriobacteriaceae_Collinsella	0.0
32	Atopobiaceae_uncultured	Atopobiaceae_uncultured	0.0
33	Prevotellaceae_Prevotella	Prevotellaceae_Prevotella	0.0
34	Succinivibrionaceae_Anaerobiospirillum	Succinivibrionaceae_Anaerobiospirillum	0.0
35	Lachnospiraceae_Blautia	Lachnospiraceae_Blautia	0.0
36	Atopobiaceae_Libanicoccus	Atopobiaceae_Libanicoccus	0.0
37	Butyricicoccaceae_Butyricicoccus	Butyricicoccaceae_Butyricicoccus	0.0
38	Hafniaceae_Hafnia-Obesumbacterium	Hafniaceae_Hafnia-Obesumbacterium	0.0
39	Veillonellaceae_Allisonella	Veillonellaceae_Allisonella	0.0
40	Enterococcaceae_Enterococcus	Enterococcaceae_Enterococcus	0.0
41	Corynebacteriaceae_Corynebacterium	Corynebacteriaceae_Corynebacterium	0.0
42	Lachnospiraceae_Lachnospiraceae_FCS020_group	Lachnospiraceae_Lachnospiraceae_FCS020_group	0.0
43	Lachnospiraceae_Syntrophococcus	Lachnospiraceae_Syntrophococcus	0.0
44	Aerococcaceae_Abiotrophia	Aerococcaceae_Abiotrophia	0.0
45	Streptococcaceae_Streptococcus	Streptococcaceae_Streptococcus	0.0
46	Barnesiellaceae_Coprobacter	Barnesiellaceae_Coprobacter	0.0
47	Oscillospiraceae_Oscillibacter	Oscillospiraceae_Oscillibacter	0.0
48	Lachnospiraceae_GCA-900066575	Lachnospiraceae_GCA-900066575	0.0
49	Gemellaceae_Gemella	Gemellaceae_Gemella	0.0
50	Barnesiellaceae_Barnesiella	Barnesiellaceae_Barnesiella	9.7108078898427e-215
51	Peptococcaceae_Peptococcus	Peptococcaceae_Peptococcus	9.7108078898427e-215
52	uncultured_uncultured	uncultured_uncultured	9.7108078898427e-215
53	Desulfovibrionaceae_Bilophila	Desulfovibrionaceae_Bilophila	9.7108078898427e-215
54	Oscillospiraceae_Colidextribacter	Oscillospiraceae_Colidextribacter	9.7108078898427e-215
55	Eubacteriaceae_Eubacterium	Eubacteriaceae_Eubacterium	9.7108078898427e-215
56	Ruminococcaceae_Subdoligranulum	Ruminococcaceae_Subdoligranulum	9.7108078898427e-215
57	Lachnospiraceae_Oribacterium	Atopobiaceae_Olsenella	5.4805910093095114e-08
58	Atopobiaceae_Olsenella	Lachnospiraceae_Oribacterium	5.4805910093095114e-08
59	Tannerellaceae_Parabacteroides	Prevotellaceae_Paraprevotella	8.986375498899317e-08
60	Prevotellaceae_Paraprevotella	Tannerellaceae_Parabacteroides	8.986375498899317e-08
61	Prevotellaceae_Alloprevotella	Prevotellaceae_Prevotella	5.2202217279983284e-06
62	Prevotellaceae_Prevotella	Prevotellaceae_Alloprevotella	5.2202217279983284e-06
63	Oscillospiraceae_Flavonifractor	Muribaculaceae_Muribaculaceae	2.1930195347077688e-05
64	Muribaculaceae_Muribaculaceae	Oscillospiraceae_Flavonifractor	2.1930195347077688e-05
65	Prevotellaceae_Alloprevotella	Oscillospiraceae_Flavonifractor	3.689856285079818e-05
66	Oscillospiraceae_Flavonifractor	Prevotellaceae_Alloprevotella	3.689856285079818e-05
67	Tannerellaceae_Parabacteroides	Oscillospiraceae_Flavonifractor	6.192626762897713e-05
68	Oscillospiraceae_Flavonifractor	Tannerellaceae_Parabacteroides	6.192626762897713e-05
69	Oscillospiraceae_Flavonifractor	Prevotellaceae_Paraprevotella	0.00012692274735411567
70	Prevotellaceae_Paraprevotella	Oscillospiraceae_Flavonifractor	0.00012692274735411567
71	Bacteroidaceae_Bacteroides	Prevotellaceae_Paraprevotella	0.00013662263945467238
72	Prevotellaceae_Paraprevotella	Bacteroidaceae_Bacteroides	0.00013662263945467238
73	Bacteroidaceae_Bacteroides	Tannerellaceae_Parabacteroides	0.00019275132711916575
74	Tannerellaceae_Parabacteroides	Bacteroidaceae_Bacteroides	0.00019275132711916575
75	Prevotellaceae_Alloprevotella	Sutterellaceae_Sutterella	0.0006674731272522498
76	Sutterellaceae_Sutterella	Prevotellaceae_Alloprevotella	0.0006674731272522498
77	Oscillospiraceae_Colidextribacter	Barnesiellaceae_Coprobacter	0.0007287440878473783
78	Barnesiellaceae_Coprobacter	Oscillospiraceae_Colidextribacter	0.0007287440878473783
79	Prevotellaceae_Alloprevotella	Tannerellaceae_Parabacteroides	0.0007470596228096764
80	Tannerellaceae_Parabacteroides	Prevotellaceae_Alloprevotella	0.0007470596228096764
81	Lachnospiraceae_Tyzzerella	Eubacteriaceae_Eubacterium	0.0007470596228096764
82	Eubacteriaceae_Eubacterium	Lachnospiraceae_Tyzzerella	0.0007470596228096764
83	Barnesiellaceae_Barnesiella	Prevotellaceae_Prevotella	0.000782683057624924
84	Prevotellaceae_Prevotella	Barnesiellaceae_Barnesiella	0.000782683057624924
85	Prevotellaceae_Alloprevotella	Muribaculaceae_Muribaculaceae	0.0009433734364563475
86	Muribaculaceae_Muribaculaceae	Prevotellaceae_Alloprevotella	0.0009433734364563475
87	Clostridiaceae_Clostridium_sensu_stricto_1	Hafniaceae_Hafnia-Obesumbacterium	0.000950315923232583
88	Hafniaceae_Hafnia-Obesumbacterium	Clostridiaceae_Clostridium_sensu_stricto_1	0.000950315923232583
89	Barnesiellaceae_Barnesiella	Tannerellaceae_Parabacteroides	0.001219947447054049
90	Tannerellaceae_Parabacteroides	Barnesiellaceae_Barnesiella	0.001219947447054049
