X_features	Y_features	association	p-values	q-values
Acetic Acid	Acetic Acid	1.0	0.0	0.0
Acetic Acid	Propionic Acid	0.5025583982202447	0.004651170672352951	0.01464685422908662
Acetic Acid	Butyric Acid	0.37708565072302563	0.03996102483603281	0.08572738896418322
Acetic Acid	Isovaleric acid	0.024251863538655525	0.8987764766941007	0.9512555601571997
Acetic Acid	alpha-Muricholic acid	0.32725250278086765	0.07752264677914403	0.14831691289443782
Acetic Acid	Cholic acid	0.4091212458286986	0.024773814285150422	0.05878466696991231
Acetic Acid	Hyocholic acid	0.07185761957730812	0.7059172540757829	0.8054764767061259
Acetic Acid	Lithocholic acid	-0.33125695216907675	0.07375250960493253	0.1425076663271215
Acetic Acid	Chenodeoxycholic acid	0.3414905450500556	0.0647605499254224	0.1280894622061996
Acetic Acid	Deoxycholic Acid	-0.09232480533926585	0.6275095966615662	0.7439143386767282
Acetic Acid	Glycocholic acid	0.13726362625139044	0.46948804567056723	0.5985677430552664
Acetic Acid	Glycochenodeoxycholic acid	0.14754646421274617	0.43652252053630025	0.5758462738384325
Acetic Acid	Glycodeoxycholic acid	-0.2863181312569522	0.12505193483139973	0.2154065604513692
Acetic Acid	Glycolithocholic acid	-0.32131731992647783	0.08338127187400954	0.15561093806180193
Acetic Acid	Taurocholic acid	0.2551724137931034	0.1735442551180174	0.27582112020324395
Acetic Acid	Taurochenodeoxycholic acid	0.23292547274749723	0.2154569945363635	0.3293042519333788
Acetic Acid	Taurolithocholic acid	0.3886540600667408	0.03379221869951787	0.07503352502476889
Acetic Acid	Taurodeoxycholic acid	0.3130144605116796	0.09213825599957674	0.16935716805220566
Acetic Acid	Histidine	0.3939933259176863	0.03121728400528303	0.07034294662523775
Acetic Acid	Taurine	0.32502780867630704	0.07968031394157483	0.1513030680463612
Acetic Acid	Serine	-0.3686318131256952	0.045015713775380356	0.09549358528919598
Acetic Acid	Glutamine	0.22447163515016688	0.23305287851340695	0.34718259375013905
Acetic Acid	Arginine	0.276560242005035	0.1390204365326302	0.23476103196432915
Acetic Acid	Glycine	0.20800889877641823	0.27001851645505554	0.391513978577826
Acetic Acid	Aspartic Acid	0.2707452725250278	0.14786640205577326	0.2447277448605344
Acetic Acid	Threonine	-0.0033370411568409346	0.9860368669198689	0.9951971297844198
Acetic Acid	Alanine	0.1350389321468298	0.4767871808898194	0.6038245646406456
Acetic Acid	Gamma-Aminobutyric Acid	0.4625139043381535	0.01006909309330593	0.02769455803782698
Acetic Acid	Proline	-0.07497219132369298	0.6937686962473165	0.7975980249373911
Acetic Acid	L-ornithine	0.011569696367065022	0.9516148192280787	0.9733733288809063
Acetic Acid	Lysine	0.05494994438264739	0.7730388113386168	0.8551214778516627
Acetic Acid	Methionine	0.03492769744160178	0.8546147402882804	0.921239560580067
Acetic Acid	Valine	0.5506117908787541	0.0016167498270293226	0.006225510093447088
Acetic Acid	l-Isoleucine	0.31123470522803115	0.09410301092035385	0.1710043961886
Acetic Acid	Leucine	0.42469410456062295	0.019321325358870805	0.04778493637535365
Acetic Acid	Phenylalanine	0.45984427141268075	0.010568023249076162	0.02865234110845783
Acetic Acid	Tryptophan	0.15194660734149054	0.42281175692313056	0.5605462997772307
Acetic Acid	Glutamic Acid	0.28186874304783094	0.13128702010603277	0.2246204247258446
Acetic Acid	Tyrosine	0.28720800889877635	0.1238315568442359	0.21378864694674551
Propionic Acid	Acetic Acid	0.5025583982202447	0.004651170672352951	0.01464685422908662
Propionic Acid	Propionic Acid	1.0	0.0	0.0
Propionic Acid	Butyric Acid	0.8451612903225806	4.2142250317228566e-09	7.202063228371309e-08
Propionic Acid	Isovaleric acid	0.3542107041609137	0.0548021569006739	0.11158511465317938
Propionic Acid	alpha-Muricholic acid	0.657842046718576	7.794584182310111e-05	0.00044072723201835236
Propionic Acid	Cholic acid	0.4834260289210234	0.006803320313949213	0.020015184134461805
Propionic Acid	Hyocholic acid	0.3619577308120133	0.04935561207437315	0.10241457839716447
Propionic Acid	Lithocholic acid	-0.20800889877641823	0.27001851645505554	0.391513978577826
Propionic Acid	Chenodeoxycholic acid	0.5234705228031146	0.0029922739069236514	0.010136411163543147
Propionic Acid	Deoxycholic Acid	0.29744160177975526	0.11042211106888639	0.19461417257911495
Propionic Acid	Glycocholic acid	0.5003337041156841	0.004866855276240418	0.015262859536415829
Propionic Acid	Glycochenodeoxycholic acid	0.5617002649667742	0.0012382942530671495	0.004995876814098499
Propionic Acid	Glycodeoxycholic acid	0.22714126807563956	0.22739538972145504	0.3407570322821016
Propionic Acid	Glycolithocholic acid	-0.02336448655975081	0.9024624224132567	0.9512555601571997
Propionic Acid	Taurocholic acid	0.5078976640711901	0.004166608031766026	0.013398331535552062
Propionic Acid	Taurochenodeoxycholic acid	0.5692992213570635	0.0010258884981883543	0.004251706827641653
Propionic Acid	Taurolithocholic acid	0.4838709677419355	0.006745037918340243	0.019998445757885983
Propionic Acid	Taurodeoxycholic acid	0.6378197997775306	0.00014973825023766342	0.0007668413421262157
Propionic Acid	Histidine	0.6529477196885429	9.183179597846292e-05	0.0005079133152117894
Propionic Acid	Taurine	0.5488320355951056	0.001686024142466907	0.006363381440923487
Propionic Acid	Serine	-0.4353726362625139	0.01618811814026275	0.04138172721233554
Propionic Acid	Glutamine	0.48075639599555064	0.007162067046561838	0.020908836809636382
Propionic Acid	Arginine	0.25675826168448146	0.1707943015916048	0.27431693001143703
Propionic Acid	Glycine	0.0731924360400445	0.7007018454903042	0.804352835464719
Propionic Acid	Aspartic Acid	0.11679644048943269	0.5387877269264418	0.6667991315338634
Propionic Acid	Threonine	-0.034482758620689655	0.8564476380779373	0.9219086040456778
Propionic Acid	Alanine	-0.03982202447163515	0.8345038040366157	0.9008376763234155
Propionic Acid	Gamma-Aminobutyric Acid	0.5087875417130144	0.004090208667337106	0.013378940608644599
Propionic Acid	Proline	-0.05139043381535039	0.7873951348360015	0.8672179580634021
Propionic Acid	L-ornithine	0.06897318988057993	0.7172317512608102	0.809880841624122
Propionic Acid	Lysine	-0.08832035595105672	0.6425732546619212	0.7544490110655464
Propionic Acid	Methionine	0.13548387096774192	0.4753226725916998	0.6029739658148252
Propionic Acid	Valine	0.41935483870967744	0.02106637238435325	0.05143170529149486
Propionic Acid	l-Isoleucine	0.2783092324805339	0.1364367686460805	0.2313493033563974
Propionic Acid	Leucine	0.26941045606229147	0.14995307355757234	0.24657148635791082
Propionic Acid	Phenylalanine	0.535483870967742	0.002292912970343181	0.008129418713034915
Propionic Acid	Tryptophan	0.5506117908787541	0.0016167498270293226	0.006225510093447088
Propionic Acid	Glutamic Acid	0.5612903225806452	0.0012507698247351973	0.005019580220111439
Propionic Acid	Tyrosine	0.3899888765294772	0.03313294270108102	0.07421974351744363
Butyric Acid	Acetic Acid	0.37708565072302563	0.03996102483603281	0.08572738896418322
Butyric Acid	Propionic Acid	0.8451612903225806	4.2142250317228566e-09	7.202063228371309e-08
Butyric Acid	Butyric Acid	1.0	0.0	0.0
Butyric Acid	Isovaleric acid	0.46924018534884865	0.008899121896851861	0.025112364387962303
Butyric Acid	alpha-Muricholic acid	0.5986651835372636	0.0004742136308626561	0.002179090430640785
Butyric Acid	Cholic acid	0.47185761957730815	0.00847595529962536	0.0240073147313411
Butyric Acid	Hyocholic acid	0.33748609566184645	0.0681713466418342	0.13379176547384494
Butyric Acid	Lithocholic acid	-0.10834260289210233	0.5687567157299825	0.6924285303085239
Butyric Acid	Chenodeoxycholic acid	0.5087875417130144	0.004090208667337106	0.013378940608644599
Butyric Acid	Deoxycholic Acid	0.3236929922135706	0.08099687862909574	0.1530388228507511
Butyric Acid	Glycocholic acid	0.3979977753058954	0.029392420848185673	0.06702529551737693
Butyric Acid	Glycochenodeoxycholic acid	0.5174140713342908	0.0034097084721350745	0.011348285746427676
Butyric Acid	Glycodeoxycholic acid	0.25917686318131256	0.16665993466599774	0.26938338004992834
Butyric Acid	Glycolithocholic acid	0.23497997911520813	0.21132124915720266	0.3249945601295301
Butyric Acid	Taurocholic acid	0.4576195773081201	0.010999513706573325	0.029611080261412438
Butyric Acid	Taurochenodeoxycholic acid	0.5706340378197998	0.0009920679647321658	0.0041340695187880114
Butyric Acid	Taurolithocholic acid	0.5537263626251391	0.0015014593241085394	0.005840715171276441
Butyric Acid	Taurodeoxycholic acid	0.6093437152391545	0.0003515038950531992	0.0016450382288489725
Butyric Acid	Histidine	0.6409343715239153	0.00013568815316383347	0.000714123463536992
Butyric Acid	Taurine	0.5363737486095662	0.0022472671381822016	0.008042572511000302
Butyric Acid	Serine	-0.4780867630700778	0.0075367259764255075	0.021752106660613276
Butyric Acid	Glutamine	0.6120133481646273	0.00032560455563001694	0.001543627107734683
Butyric Acid	Arginine	0.31571921432433203	0.08921218033155452	0.16487451553377208
