cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Acetic Acid	Acetic Acid	0.0
2	Propionic Acid	Propionic Acid	0.0
3	Butyric Acid	Butyric Acid	0.0
4	Isovaleric acid	Isovaleric acid	0.0
5	alpha-Muricholic acid	alpha-Muricholic acid	0.0
6	Cholic acid	Cholic acid	0.0
7	Hyocholic acid	Hyocholic acid	0.0
8	Lithocholic acid	Lithocholic acid	0.0
9	Chenodeoxycholic acid	Chenodeoxycholic acid	0.0
10	Deoxycholic Acid	Deoxycholic Acid	0.0
11	Glycocholic acid	Glycocholic acid	0.0
12	Glycochenodeoxycholic acid	Glycochenodeoxycholic acid	0.0
13	Glycodeoxycholic acid	Glycodeoxycholic acid	0.0
14	Glycolithocholic acid	Glycolithocholic acid	0.0
15	Taurocholic acid	Taurocholic acid	0.0
16	Taurochenodeoxycholic acid	Taurochenodeoxycholic acid	0.0
17	Taurolithocholic acid	Taurolithocholic acid	0.0
18	Taurodeoxycholic acid	Taurodeoxycholic acid	0.0
19	Histidine	Histidine	0.0
20	Taurine	Taurine	0.0
21	Serine	Serine	0.0
22	Glutamine	Glutamine	0.0
23	Arginine	Arginine	0.0
24	Glycine	Glycine	0.0
25	Aspartic Acid	Aspartic Acid	0.0
26	Threonine	Threonine	0.0
27	Alanine	Alanine	0.0
28	Gamma-Aminobutyric Acid	Gamma-Aminobutyric Acid	0.0
29	Proline	Proline	0.0
30	L-ornithine	L-ornithine	0.0
31	Lysine	Lysine	0.0
32	Methionine	Methionine	0.0
33	Valine	Valine	0.0
34	l-Isoleucine	l-Isoleucine	0.0
35	Leucine	Leucine	0.0
36	Phenylalanine	Phenylalanine	0.0
37	Tryptophan	Tryptophan	0.0
38	Glutamic Acid	Glutamic Acid	0.0
39	Tyrosine	Tyrosine	0.0
40	Taurochenodeoxycholic acid	Taurodeoxycholic acid	8.242504947822992e-15
41	Taurodeoxycholic acid	Taurochenodeoxycholic acid	8.242504947822992e-15
42	Taurocholic acid	Taurodeoxycholic acid	2.614225552633866e-12
43	Taurodeoxycholic acid	Taurocholic acid	2.614225552633866e-12
44	Cholic acid	Chenodeoxycholic acid	2.9795126301443812e-12
45	Chenodeoxycholic acid	Cholic acid	2.9795126301443812e-12
46	Valine	Leucine	2.5054375464062604e-11
47	Leucine	Valine	2.5054375464062604e-11
