cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	alpha-Muricholic acid	alpha-Muricholic acid	0.0
2	Cholic acid	Cholic acid	0.0
3	Hyocholic acid	Hyocholic acid	0.0
4	Lithocholic acid	Lithocholic acid	0.0
5	Chenodeoxycholic acid	Chenodeoxycholic acid	0.0
6	Deoxycholic Acid	Deoxycholic Acid	0.0
7	Glycocholic acid	Glycocholic acid	0.0
8	Glycochenodeoxycholic acid	Glycochenodeoxycholic acid	0.0
9	Glycodeoxycholic acid	Glycodeoxycholic acid	0.0
10	Glycolithocholic acid	Glycolithocholic acid	0.0
11	Taurocholic acid	Taurocholic acid	0.0
12	Taurochenodeoxycholic acid	Taurochenodeoxycholic acid	0.0
13	Taurolithocholic acid	Taurolithocholic acid	0.0
14	Taurodeoxycholic acid	Taurodeoxycholic acid	0.0
15	Taurochenodeoxycholic acid	Taurodeoxycholic acid	2.7217607561105183e-15
16	Taurodeoxycholic acid	Taurochenodeoxycholic acid	2.7217607561105183e-15
17	Taurocholic acid	Taurodeoxycholic acid	8.047590385564403e-13
18	Taurodeoxycholic acid	Taurocholic acid	8.047590385564403e-13
19	Cholic acid	Chenodeoxycholic acid	8.638823602193768e-13
20	Chenodeoxycholic acid	Cholic acid	8.638823602193768e-13
21	Taurolithocholic acid	Taurodeoxycholic acid	7.426526156843643e-12
22	Taurodeoxycholic acid	Taurolithocholic acid	7.426526156843643e-12
23	Taurocholic acid	Taurochenodeoxycholic acid	1.3000094136010241e-11
24	Taurochenodeoxycholic acid	Taurocholic acid	1.3000094136010241e-11
25	Taurochenodeoxycholic acid	Taurolithocholic acid	2.1318232928303898e-10
26	Taurolithocholic acid	Taurochenodeoxycholic acid	2.1318232928303898e-10
27	Chenodeoxycholic acid	Taurolithocholic acid	3.423773670841999e-10
28	Taurolithocholic acid	Chenodeoxycholic acid	3.423773670841999e-10
29	Cholic acid	Taurolithocholic acid	5.402084906839108e-10
30	Taurolithocholic acid	Cholic acid	5.402084906839108e-10
31	Glycocholic acid	Taurocholic acid	7.977987896804262e-10
32	Taurocholic acid	Glycocholic acid	7.977987896804262e-10
33	alpha-Muricholic acid	Taurodeoxycholic acid	8.633839591507565e-10
34	Chenodeoxycholic acid	Taurodeoxycholic acid	8.633839591507565e-10
35	Taurodeoxycholic acid	alpha-Muricholic acid	8.633839591507565e-10
36	Taurodeoxycholic acid	Chenodeoxycholic acid	8.633839591507565e-10
37	Cholic acid	Taurocholic acid	2.1677658359270234e-09
38	Cholic acid	Taurodeoxycholic acid	2.1677658359270234e-09
39	Chenodeoxycholic acid	Taurochenodeoxycholic acid	2.1677658359270234e-09
40	Taurocholic acid	Cholic acid	2.1677658359270234e-09
41	Taurochenodeoxycholic acid	Chenodeoxycholic acid	2.1677658359270234e-09
42	Taurodeoxycholic acid	Cholic acid	2.1677658359270234e-09
43	alpha-Muricholic acid	Glycocholic acid	2.9450037182989615e-09
44	Glycocholic acid	alpha-Muricholic acid	2.9450037182989615e-09
