X_features	Y_features	association	p-values	q-values
alpha-Muricholic acid	Bacteroidaceae_Bacteroides	-0.014015572858731925	0.9414018983829737	0.9884934179615077
alpha-Muricholic acid	Barnesiellaceae_Barnesiella	-0.1509182203626696	0.4259946509637734	0.7676655154169282
alpha-Muricholic acid	Prevotellaceae_Alloprevotella	-0.03137516766595109	0.8692690691764436	0.9745777758795167
alpha-Muricholic acid	Fusobacteriaceae_Fusobacterium	0.24668826369934777	0.18878801458854	0.5428902391013332
alpha-Muricholic acid	Peptococcaceae_Peptococcus	0.11345703631626877	0.5505360687358752	0.8496462163167838
alpha-Muricholic acid	Sutterellaceae_Sutterella	0.012907533822532846	0.9460275568528793	0.9884934179615077
alpha-Muricholic acid	Succinivibrionaceae_Succinatimonas	-0.176529905585278	0.3507340114650125	0.6978793375691177
alpha-Muricholic acid	Ruminococcaceae_Incertae_Sedis	0.4858128678377449	0.00649560513990251	0.08384670175846945
alpha-Muricholic acid	Tannerellaceae_Parabacteroides	-0.17265546886235492	0.3615750757447497	0.7098164404471426
alpha-Muricholic acid	Clostridiaceae_Clostridium_sensu_stricto_1	0.7075589368560715	1.2275970419461344e-05	0.0008749418917143358
alpha-Muricholic acid	Selenomonadaceae_Megamonas	0.3027808676307008	0.10387170798379251	0.38778770980615873
alpha-Muricholic acid	Rikenellaceae_Alistipes	-0.24487552067217397	0.19216233256122253	0.5458524229275307
alpha-Muricholic acid	Saccharimonadales_Saccharimonadales	-0.3928187171413168	0.03176964529014853	0.20086614441513262
alpha-Muricholic acid	Oscillospiraceae_Flavonifractor	-0.1404094382781215	0.45926728127224314	0.7896174309592953
alpha-Muricholic acid	Veillonellaceae_Megasphaera	0.21067853170189096	0.26377999886923764	0.6046886523786033
alpha-Muricholic acid	Lachnospiraceae_Oribacterium	0.09276974416017797	0.6258447366921261	0.8958114135687232
alpha-Muricholic acid	Bifidobacteriaceae_Bifidobacterium	0.09766407119021134	0.6076516500296437	0.8878965028951828
alpha-Muricholic acid	Lachnospiraceae_[Ruminococcus]_torques_group	0.13643994484758626	0.4721836818509889	0.7978071990841384
alpha-Muricholic acid	Prevotellaceae_Paraprevotella	-0.27659101708352624	0.13897466901720182	0.4676229206415718
alpha-Muricholic acid	Muribaculaceae_Muribaculaceae	-0.04787354381632096	0.8016469718691956	0.9438842989380135
alpha-Muricholic acid	Lachnospiraceae_Lachnoclostridium	0.022506995222429757	0.9060261205600328	0.9856029713381419
alpha-Muricholic acid	Lachnospiraceae_Tyzzerella	-0.23956605467826875	0.2022860342641532	0.5603966461593501
alpha-Muricholic acid	Coriobacteriaceae_Coriobacterium	0.04471635150166852	0.8144946781880171	0.9530803398498588
alpha-Muricholic acid	Akkermansiaceae_Akkermansia	-0.22393293246019708	0.23420583607461729	0.584768711727707
alpha-Muricholic acid	Atopobiaceae_Olsenella	0.05850945494994438	0.7587555295721804	0.9309714717196246
alpha-Muricholic acid	Acidaminococcaceae_Phascolarctobacterium	0.3503893214682981	0.057657720669544776	0.28792135671925545
alpha-Muricholic acid	uncultured_uncultured	-0.20602794055964369	0.27470901162778466	0.6188846698740896
alpha-Muricholic acid	Enterobacteriaceae_Escherichia-Shigella	0.575083426028921	0.000886267525619978	0.022413991615679443
alpha-Muricholic acid	Desulfovibrionaceae_Bilophila	0.005801006106136426	0.9757293020170723	0.9950672496565551
alpha-Muricholic acid	Gastranaerophilales_Gastranaerophilales	-0.1111890622467276	0.5585823478692256	0.8603704532995536
alpha-Muricholic acid	Leuconostocaceae_Leuconostoc	-0.05949869034048261	0.7547995744520748	0.9309714717196246
alpha-Muricholic acid	Lachnospiraceae_Lachnospiraceae_NK4A136_group	-0.2315107100807049	0.21833676018936493	0.5744161744579265
alpha-Muricholic acid	Oscillospiraceae_Colidextribacter	-0.05679924075178218	0.7656087291688475	0.9309714717196246
alpha-Muricholic acid	Lachnospiraceae_[Ruminococcus]_gnavus_group	-0.2952826063313269	0.11315661956655118	0.40882391585334615
