X_features	Y_features	association	p-values	q-values
Acetic Acid	Acetic Acid	1.0	0.0	0.0
Acetic Acid	Propionic Acid	0.5025583982202447	0.004651170672352951	0.009302341344705901
Acetic Acid	Butyric Acid	0.37708565072302563	0.03996102483603281	0.053281366448043745
Acetic Acid	Isovaleric acid	0.024251863538655525	0.8987764766941007	0.8987764766941007
Propionic Acid	Acetic Acid	0.5025583982202447	0.004651170672352951	0.009302341344705901
Propionic Acid	Propionic Acid	1.0	0.0	0.0
Propionic Acid	Butyric Acid	0.8451612903225806	4.2142250317228566e-09	1.1237933417927617e-08
Propionic Acid	Isovaleric acid	0.3542107041609137	0.0548021569006739	0.06263103645791303
Butyric Acid	Acetic Acid	0.37708565072302563	0.03996102483603281	0.053281366448043745
Butyric Acid	Propionic Acid	0.8451612903225806	4.2142250317228566e-09	1.1237933417927617e-08
Butyric Acid	Butyric Acid	1.0	0.0	0.0
Butyric Acid	Isovaleric acid	0.46924018534884865	0.008899121896851861	0.014238595034962978
Isovaleric acid	Acetic Acid	0.024251863538655525	0.8987764766941007	0.8987764766941007
Isovaleric acid	Propionic Acid	0.3542107041609137	0.0548021569006739	0.06263103645791303
Isovaleric acid	Butyric Acid	0.46924018534884865	0.008899121896851861	0.014238595034962978
Isovaleric acid	Isovaleric acid	1.0	0.0	0.0
