key	common_name	parent_group	type	diff_expr	diff_direction
QTBSBXVTEAMEQO-UHFFFAOYSA-N	Acetic Acid	short_chain_fatty_acids	metabolite	0	0
XBDQKXXYIPTUBI-UHFFFAOYSA-N	Propionic Acid	short_chain_fatty_acids	metabolite	0	0
FERIUCNNQQJTOY-UHFFFAOYSA-N	Butyric Acid	short_chain_fatty_acids	metabolite	0	0
GWYFCOCPABKNJV-UHFFFAOYSA-N	Isovaleric acid	short_chain_fatty_acids	metabolite	0	0
DKPMWHFRUGMUKF-GDYCBZMLSA-N	alpha-Muricholic acid	bile_acids	metabolite	1	-
BHQCQFFYRZLCQQ-OELDTZBJSA-N	Cholic Acid	bile_acids	metabolite	1	-
DKPMWHFRUGMUKF-KWXDGCAGSA-N	Hyocholic Acid	bile_acids	metabolite	0	0
SMEROWZSTRWXGI-HVATVPOCSA-N	Lithocholic Acid	bile_acids	metabolite	0	0
RUDATBOHQWOJDD-BSWAIDMHSA-N	Chenodeoxycholic acid	bile_acids	metabolite	0	0
KXGVEGMKQFWNSR-LLQZFEROSA-N	Deoxycholic Acid	bile_acids	metabolite	0	0
RFDAIACWWDREDC-FRVQLJSFSA-N	Glycocholic acid	bile_acids	metabolite	2	-
GHCZAUBVMUEKKP-GYPHWSFCSA-N	Glycochenodeoxycholic Acid	bile_acids	metabolite	1	-
WVULKSPCQVQLCU-BUXLTGKBSA-N	Glycodeoxycholic Acid	bile_acids	metabolite	2	-
XBSQTYHEGZTYJE-OETIFKLTSA-N	Glycolithocholic acid	bile_acids	metabolite	0	0
WBWWGRHZICKQGZ-HZAMXZRMSA-N	Taurocholic acid	bile_acids	metabolite	1	-
BHTRKEVKTKCXOH-BJLOMENOSA-N	Taurochenodeoxycholic acid	bile_acids	metabolite	0	0
QBYUNVOYXHFVKC-GBURMNQMSA-N	Taurolithocholic acid	bile_acids	metabolite	0	0
AWDRATDZQPNJFN-VAYUFCLWSA-N	Taurodeoxycholic acid	bile_acids	metabolite	1	-
HNDVDQJCIGZPNO-YFKPBYRVSA-N	Histidine	amino_acids	metabolite	0	0
XOAAWQZATWQOTB-UHFFFAOYSA-N	Taurine	amino_acids	metabolite	1	-
MTCFGRXMJLQNBG-REOHCLBHSA-N	Serine	amino_acids	metabolite	0	0
ZDXPYRJPNDTMRX-VKHMYHEASA-N	Glutamine	amino_acids	metabolite	0	0
ODKSFYDXXFIFQN-BYPYZUCNSA-N	Arginine	amino_acids	metabolite	0	0
DHMQDGOQFOQNFH-UHFFFAOYSA-N	Glycine	amino_acids	metabolite	0	0
CKLJMWTZIZZHCS-REOHCLBHSA-N	Aspartic Acid	amino_acids	metabolite	0	0
AYFVYJQAPQTCCC-GBXIJSLDSA-N	Threonine	amino_acids	metabolite	1	+
QNAYBMKLOCPYGJ-REOHCLBHSA-N	Alanine	amino_acids	metabolite	0	0
BTCSSZJGUNDROE-UHFFFAOYSA-N	Gamma-Aminobutyric Acid	amino_acids	metabolite	0	0
ONIBWKKTOPOVIA-BYPYZUCNSA-N	Proline	amino_acids	metabolite	0	0
AHLPHDHHMVZTML-BYPYZUCNSA-N	L-ornithine	amino_acids	metabolite	0	0
KDXKERNSBIXSRK-YFKPBYRVSA-N	Lysine	amino_acids	metabolite	1	+
FFEARJCKVFRZRR-BYPYZUCNSA-N	Methionine	amino_acids	metabolite	0	0
KZSNJWFQEVHDMF-BYPYZUCNSA-N	Valine	amino_acids	metabolite	0	0
AGPKZVBTJJNPAG-WHFBIAKZSA-N	l-Isoleucine	amino_acids	metabolite	0	0
ROHFNLRQFUQHCH-YFKPBYRVSA-N	Leucine	amino_acids	metabolite	0	0
COLNVLDHVKWLRT-QMMMGPOBSA-N	Phenylalanine	amino_acids	metabolite	0	0
QIVBCDIJIAJPQS-VIFPVBQESA-N	Tryptophan	amino_acids	metabolite	0	0
WHUUTDBJXJRKMK-VKHMYHEASA-N	Glutamic Acid	amino_acids	metabolite	0	0
OUYCCCASQSFEME-QMMMGPOBSA-N	Tyrosine	amino_acids	metabolite	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	Tannerellaceae_Parabacteroides	Tannerellaceae	microbe	0	0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	Fusobacteriaceae_Fusobacterium	Fusobacteriaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	Muribaculaceae_Muribaculaceae	Muribaculaceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus	Atopobiaceae_Libanicoccus	Atopobiaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	Barnesiellaceae_Barnesiella	Barnesiellaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	Lachnospiraceae_Blautia	Lachnospiraceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	Bifidobacteriaceae_Bifidobacterium	Bifidobacteriaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	Eubacteriaceae_Eubacterium	Eubacteriaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	Enterobacteriaceae_Escherichia-Shigella	Enterobacteriaceae	microbe	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	Sutterellaceae_Sutterella	Sutterellaceae	microbe	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	Coriobacteriaceae_Collinsella	Coriobacteriaceae	microbe	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	Ruminococcaceae_Incertae_Sedis	Ruminococcaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	Rikenellaceae_Alistipes	Rikenellaceae	microbe	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	Bacteroidaceae_Bacteroides	Bacteroidaceae	microbe	0	0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	Saccharimonadales_Saccharimonadales	Saccharimonadales	microbe	0	0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales	Gastranaerophilales_Gastranaerophilales	Gastranaerophilales	microbe	0	0
